timestamp_ms,trial_num,task,frame,event_type,choice,rt_ms
1778880957276,0,practice,attention_check,fixation_onset,,
1778880959177,0,practice,attention_check,stimulus_onset,,
1778880964205,0,practice,attention_check,prompt_onset,,
1778880964706,0,practice,attention_check,response_onset,,
1778880993015,0,practice,attention_check,response,deny,28308
1778880993017,0,practice,attention_check,attention_check,deny,28308
1778880993025,1,location,gain,fixation_onset,,
1778880994925,1,location,gain,stimulus_onset,,
1778880999934,1,location,gain,prompt_onset,,
1778881000440,1,location,gain,response_onset,,
1778881004306,1,location,gain,response,deny,3867
1778881006315,2,microphone,neutral,fixation_onset,,
1778881008175,2,microphone,neutral,stimulus_onset,,
1778881013191,2,microphone,neutral,prompt_onset,,
1778881013692,2,microphone,neutral,response_onset,,
1778881015377,2,microphone,neutral,response,allow,1686
1778881017395,3,health_data,loss,fixation_onset,,
1778881019611,3,health_data,loss,stimulus_onset,,
1778881024628,3,health_data,loss,prompt_onset,,
1778881025129,3,health_data,loss,response_onset,,
1778881026005,3,health_data,loss,response,deny,877
1778881028009,4,contacts,neutral,fixation_onset,,
1778881030050,4,contacts,neutral,stimulus_onset,,
1778881035063,4,contacts,neutral,prompt_onset,,
1778881035576,4,contacts,neutral,response_onset,,
1778881036138,4,contacts,neutral,response,allow,563
1778881038156,5,camera,loss,fixation_onset,,
1778881040135,5,camera,loss,stimulus_onset,,
1778881045144,5,camera,loss,prompt_onset,,
1778881045644,5,camera,loss,response_onset,,
1778881048153,5,camera,loss,response,deny,2510
1778881050171,6,photos,neutral,fixation_onset,,
1778881052142,6,photos,neutral,stimulus_onset,,
1778881057158,6,photos,neutral,prompt_onset,,
1778881057660,6,photos,neutral,response_onset,,
1778881058383,6,photos,neutral,response,allow,723
1778881060394,7,health_data,gain,fixation_onset,,
1778881062040,7,health_data,gain,stimulus_onset,,
1778881067045,7,health_data,gain,prompt_onset,,
1778881067545,7,health_data,gain,response_onset,,
1778881068385,7,health_data,gain,response,allow,841
1778881070401,8,photos,loss,fixation_onset,,
1778881072022,8,photos,loss,stimulus_onset,,
1778881077029,8,photos,loss,prompt_onset,,
1778881077530,8,photos,loss,response_onset,,
1778881079505,8,photos,loss,response,deny,1976
1778881081518,9,microphone,gain,fixation_onset,,
1778881083579,9,microphone,gain,stimulus_onset,,
1778881088596,9,microphone,gain,prompt_onset,,
1778881089106,9,microphone,gain,response_onset,,
1778881090258,9,microphone,gain,response,allow,1153
1778881092271,10,camera,gain,fixation_onset,,
1778881093961,10,camera,gain,stimulus_onset,,
1778881098970,10,camera,gain,prompt_onset,,
1778881099478,10,camera,gain,response_onset,,
1778881100025,10,camera,gain,response,allow,538
1778881102018,11,contacts,loss,fixation_onset,,
1778881104011,11,contacts,loss,stimulus_onset,,
1778881109015,11,contacts,loss,prompt_onset,,
1778881109531,11,contacts,loss,response_onset,,
1778881110152,11,contacts,loss,response,allow,624
1778881112167,12,location,neutral,fixation_onset,,
1778881114163,12,location,neutral,stimulus_onset,,
1778881119167,12,location,neutral,prompt_onset,,
1778881119681,12,location,neutral,response_onset,,
1778881120147,12,location,neutral,response,allow,469
